ACT ID,Title TH,Title EN,Agoda ID
118,เครื่องอบผ้า,Clothes dryer,149
119,ร้านสะดวกซื้อ,Convenience store,239
120,บริการทำความสะอาดทุกวัน,Daily housekeeping,240
121,ซักแห้ง,Dry cleaning,118
122,โรงรถ,Garage,
123,ของขวัญ / ของที่ระลึก,Gift / souvenir shop,243
124,ร้านขายของชำ,Grocery deliveries,244
125,ร้านทำผม,Hairdressing salon,
126,ครัว,Kitchen,288
127,เครื่องซักผ้า,Launderette,
128,เครื่องซักผ้าอัตโนมัติ,Laundromat,246
129,บริการซักอบรีด,Laundry service,8
130,ห้องสมุด,Library,121
131,บริการทางการแพทย์,Medical service,
132,เช่า Wi-Fi แบบพกพา,Portable Wi-Fi rental,248
133,บริการไปรษณีย์,Postal service,249
134,ร้านขายของ,Shop,2
135,ซุปเปอร์มาร์เก็ต,Supermarket,
136,บริการจองตั๋ว,Ticket service,253
137,เครื่องหยอดเหรียญ,Vending machine,126
138,เช็คอินตลอด 24 ชั่วโมง,24-hour check-in,272
139,แผนกต้อนรับส่วนหน้าตลอด 24 ชั่วโมง,24-hour front desk,116
140,แผนกต้อนรับตลอด 24 ชั่วโมง,24-hour reception,
141,เวลาเช็คอิน,Check-in hour,
142,เวลาเช็คเอาต์,Check-out hour,
143,การเช็คอิน / เช็คเอาท์แบบรวดเร็ว,Express check-in / check-out,119
144,เช็คเอาท์ช้า,Late Check-out,
145,เช็คอิน / เช็คเอาท์แบบส่วนตัว,Private check in / check out,251
146,พนักงานขนสัมภาระ,Bellboy service,
147,คนเฝ้าประตู,Concierge,23
148,คนเรียกรถ,Doorman,274
148,คนเรียกรถ,Doorman,408
149,รับฝากกุญแจ,Key collection,
150,ห้องเก็บสัมภาระ,Luggage room,
151,บริการรับฝากสัมภาระ,Luggage storage,124
152,รถรับส่งสนามบิน,Airport shuttle,
153,บริการรถรับส่งสนามบิน,Airport transfer,17
154,บริการรถรับส่ง,Shuttle service,97
155,บริการรถแท็กซี่,Taxi service,252
156,บริการรับส่ง,Transfer service,
157,บริการรถเช่า,Car rental,
158,ที่จอดรถ,Car park,80
159,มีการคิดค่าบริการที่จอดรถ,Car park charges applied,358
160,ที่จอดรถสำหรับรถบรรทุก,Car park for truck,
161,ที่จอดรถสำหรับรถตู้,Car park for van,
162,ที่จอดรถฟรี,Car park free of charge,410
162,ที่จอดรถฟรี,Car park free of charge,357
163,ที่จอดรถในบริเวณโรงแรม,Car park onsite,354
164,มีที่จอดรถใกล้เคียง,Car park nearby,355
165,สถานีชาร์จไฟรถยนต์,Car power charging station,236
166,ที่จอดรถที่ปลอดภัย,Secure parking,
167,ที่จอดรถด้วยตนเอง,Self-parking,356
168,บริการรับจอดรถยนต์,Valet parking,22
169,ห้องดูทีวี,TV lounge,
170,โทรภายในและต่างประเทศ,Local & international calls,
171,สัญญาณโทรศัพท์มือถือทั่วถึง,Mobile phone coverage,
172,ห้องนั่งเล่น / พื้นที่ใช้สอยร่วมกัน,Shared lounge / TV area,129
173,สวน,Garden,68
174,ร่มกันแดด,Parasols,
175,ห้องอาบแดด,Solarium,132
176,เก้าอี้อาบแดด,Sun loungers,
177,ระเบียงอาบแดด,Sun terrace,
178,ระเบียง,Terrace,43
179,บริการพี่เลี้ยงเด็ก,Babysitting service,19
180,สนามเด็กเล่น,Children playground,133
181,ศูนย์ดูแลเด็กเล็ก,Day-care centre,
182,โปรแกรมเพื่อความบันเทิงสำหรับเด็ก,Entertainment programme for children,
183,ห้องครอบครัว,Family room,81
184,เก้าอี้เด็ก,Highchairs,
185,สโมสรสำหรับเด็ก,Kids club,55
186,พื้นที่ว่ายน้ำสำหรับเด็ก,Swimming pool (Kids),53
187,ห้องประชุม,Meeting room,
188,ห้องประชุมทางไกล,Conference room,
189,ห้องจัดเลี้ยง,Banquet hall,
190,โรงละคร / หอประชุม,Theatre / auditorium,
191,ศูนย์กลางธุรกิจ,Business centre,369
192,แฟกซ์,Fax,369
193,เครื่องถ่ายเอกสาร,Photocopier,369
194,เครื่องพิมพ์,Printer,
195,เครื่องฉาย,Projector,
196,อินเตอร์เนตไร้สาย,Buzzer / wireless intercom,407
196,อินเตอร์เนตไร้สาย,Buzzer / wireless intercom,273
197,พนักงานดูแลการประชุม,Conference hostess,
198,บริการเลขานุการ,Secretarial service,
199,อนุญาตสำหรับแมว,Cats allowed,362
200,อนุญาตสำหรับสุนัข,Dogs allowed,361
201,สัตว์เลี้ยงขนาดเล็กอนุญาต (ต่ำกว่า 5 กก.),Small pets allowed (Under 5 kg),
202,สัตว์เลี้ยงขนาดใหญ่อนุญาต (เกิน 5 กก.),Large pets allowed (Over 5 kg),
203,อนุญาตสำหรับสัตว์เลี้ยง,Pets allowed,24
203,อนุญาตสำหรับสัตว์เลี้ยง,Pets allowed,400
204,ค่าธรรมเนียมเพิ่มเติมสำหรับสัตว์เลี้ยง,Additional fee applied for pets,363
205,ห้ามสูบบุหรี่,100% Non-smoking,364
206,พื้นที่ปลอดบุหรี่,Non-smoking area,15
207,พื้นที่สูบบุหรี่,Smoking area,281
207,พื้นที่สูบบุหรี่,Smoking area,83
208,บริการช่วยเหลือตลอด 24 ชั่วโมง,24-hour room service,1
209,ระบบรักษาความปลอดภัยตลอด 24 ชั่วโมง,24-hour security,235
210,บริการช่วยเหลือ,Room service,12
211,ลิฟต์,Elevator,5
212,เครื่องปรับอากาศในพื้นที่ส่วนกลาง,Air conditioning in public areas,
213,เครื่องปรับอากาศในร้านอาหาร,Air conditioning in restaurant,
214,โบสถ์,Chapel,237
215,พื้นที่รับประทานอาหาร,Dining area,
216,สิ่งอำนวยความสะดวกสำหรับผู้พิการ,Facilities for disabled guests,16
217,พนักงานรักษาความปลอดภัย,Hotel safe,
218,โรงพยาบาล,Infirmary,245
219,ชั้นวางหนังสือพิมพ์,Newspaper stand,
220,หนังสือพิมพ์,Newspapers,117
220,หนังสือพิมพ์,Newspapers,27
221,ตู้นิรภัย,Safety deposit boxes,13
222,ห้องครัวส่วนกลาง,Shared kitchen,127
223,สาธิตการทำอาหาร,Show cooking,
224,ศาลเจ้า,Shrine,238
225,เครื่องตรวจจับควันไฟ,Smoke detector,394
225,เครื่องตรวจจับควันไฟ,Smoke detector,277
226,รถเข็นคนพิการสามารถเข้าถึงได้,Wheelchair-accessible,254
